title,selling_price,MRP,discount,rating,availability,url,scrape_datetime
boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),499,1299.00,62,4.1,Available,https://www.amazon.in/BassHeads-152-ToneSecure-Braided-Earphones/dp/B07KY3FNQP/ref=sr_1_9?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-9,2024-01-10 00:00:00
"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",259,799.00,68,4.1,Available,https://www.amazon.in/Portronics-Earphones-Powerful-Controls-Compatibility/dp/B0DDHM6D3L/ref=sr_1_10?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-10,2023-01-16 00:00:00
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",159,399.00,60,3.5,Available,https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Drivers-Compatible/dp/B09R24HMNW/ref=sr_1_11?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-11,2023-07-20 00:00:00
"Ambrane Stringz 38 Wired Earphones with Mic, Powerful HD Sound with High Bass, Tangle Free Cable, Comfort in-Ear Fit, 3.5mm Jack (Green), Normal",249,449.00,45,3.8,Available,https://www.amazon.in/Ambrane-Stringz-Earphones-Powerful-Comfort/dp/B08V58PTDC/ref=sr_1_12?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-12,2023-05-21 00:00:00
"boAt Rockerz 255 Touch in Ear Neckband with Full Touch Controls, Spatial Audio, Up to 30H Playtime, ASAP Charge, Beast Mode, Enx Technology(Teal Green)",1099,4990.00,78,4.0,Available,https://www.amazon.in/boAt-Rockerz-255-Touch-Technology/dp/B0BZ89R65G/ref=sr_1_13?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-13,2023-09-05 00:00:00
"boAt Bassheads 100 C Wired Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility(Black)",529,1990.00,73,4.1,Available,https://www.amazon.in/boAt-Bassheads-100-Microphone-Compatibility/dp/B0D7PXB3SH/ref=sr_1_14?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-14,2023-12-26 00:00:00
"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",1799,2299.00,22,4.1,Available,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_15?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-15,2023-04-16 00:00:00
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Black),349,999.00,65,3.9,Available,https://www.amazon.in/Boult-Audio-X1-Earphones-Cancellation/dp/B07TCN5VR9/ref=sr_1_16?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-16,2023-05-10 00:00:00
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Mint Green)",1199,3499.00,66,3.8,Available,https://aax-eu.amazon.in/x/c/JE1Rf81kr4-rU5rrhaeNmQoAAAGUt8brcwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDu-WiL/clv1_CEuOPUxokZA0iHrVZtkDhTDve255DKYJsYoa2yTWrdFex38EqgSOXvw18HHE8xvVjq0yzpNb3X7OfU1MAGcAO3ZNcTOuLdTxTV0xY1xsZUP9RrRXskfB8IkGXCROUeW6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3149E-UuSjidJ1-ZjAz9B7yl_bPrUYAZJ0SW56eH2BSUezbvKqWHwesowbpaVPferabTPsftM8NejcRyRhUAvo8C-9FHE6Fj0W5fDGy7yyiJpLYWXFOacyx-qnqmj0UNuzT-N52bUz1lAp3XhtVXPtM6C2xN4Sp2M752rihBP2dM-J0mRnMYGeGRQNXmq8-sXy4dCTTLqaFKWEG2vEWUYQR5WaRd-NWXKXNt_6mgwAGvbmtDCdaXvtFS_CF8CoIymgGwjQSZ6zz9CBRvUEkOcgmDU2TPNZf2bSaWBD9t80ENAnfyX2DZEaVnuuFlcRCdkrZwltwGIyffMSBcrRFM49kMurj5gHo1hoWBxbIZR1XV_iKvQvWfG1o4e9AXeihh1eljCK1aiTA97oPLBhRaVlcRndd2i6gqH18EbhP_pG07pBbiefd8_Q0_5UpDm_oF3e4HHlGtNX0u_JHxPunH8ZzQFl8xCibvpUrDbPdr8BJm-NIGG4Cpvf5vKwPIpG7x7xLCM3TuASh2rzfNL3VYn-NgSMUsZBWi21ogFNBtg2Bls6eKUmO6cPi6TFcXwAHKpNZ2dNBMpsGMm0g2uu2FSrqklLWG1HyQ23r41m4R4w7jlm-7mTz3qME1puMiiBPFT8sBcP1DCtqEx8Lg2BNUGRg7KgXQowrZsixEVWkCU2BJQSbNy2eXqAWmRYH63bPusebF5iu6ZLkRDt-CXoDxoTuyaCxBH_UfYg1PYWpHQ7_SyQfEA3wQDCOZ_5ZL3ikyZ7gD2JKG9jRGqzZWJcCqinJh_INf7RJqcBqDUr64OQjae4xQPNRgbkCgcZHoFBcpCbyxbbu5lOm3XSja-5dJL8xRMzlJP7ydWW2pKsRuq3ZtDYWvpbLjuvAcb9b9mzooMfp4gVYGa1QbcMHrKGjWS5YOlo_RtLy0yxiQ6VDy4JYjhTdpZ8EME0uvH3zCxEayZT4Io1HGIubA9slb7q5GxRzw-6NqKmHmCEUTSGuO81fg1iAaBLvJIuE8nPqMeXXoUqNHcIQWojITzatPtYaKig6LpGWrOMjwXPBPZ97bzowCqzSc1YYIJ5E7TwL-zEjNluYnd3I805_N6OcawnV7UcZFG9QL6aAXz362AHCzjo2JFEyiRKlqFRvyX3SaZAT8QkU9U6XjX5K02jmpEWhI-K0i-v_hjlx_Y1NGz44yL9F2LxDWFQat0RcDGkDhv4i2oyjlFDDtQGDc7hSdYcw48cVxyP4p7mYPlGjEH0T7AWVYgYBVys6OoUCsSgJoLeJrEJfmRN4cPjDUkfT5KG6zPV6pCIhAscmkrJyDlMR06C-TYK3uMRvEvgfTR8YEThp8vNinsrG-zqYkL4rPqcMpxtiWqhedkJnKMBKybVHvnQsXpFB9W8LkNCPEGHnU37BQVnuQmjhOxal8DSPjZlYrJLR8vYg4U_boItEgv9e2A2Uyxsv9reL5uPVubujA-1J0kVmhuI0IIz2p7Q9gi2CwkcBwPi6Sw1yYsdXxgdkWaJqPqwkGcadRzaMc4RuTgqp0B_JLd59ohQfqcqOVqhFC8qv7ov8lPCDLGIdTn-A/https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MK1KB/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d%3Aamzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09Y5MK1KB&pd_rd_r=06d97c52-b8e6-44af-ada7-ae5c942d5310&pd_rd_w=kDH0b&pd_rd_wg=xNYgR&pf_rd_p=3353ca56-2043-45f1-9c2e-99dccef31d9d&pf_rd_r=0Z3G5R43HTH2X7VVFFW1&qid=1738250054&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,2023-12-15 00:00:00
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Mint Green)",1199,3499.00,66,3.8,Available,https://aax-eu.amazon.in/x/c/JE1Rf81kr4-rU5rrhaeNmQoAAAGUt8brcwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDu-WiL/clv1_CEuOPUxokZA0iHrVZtkDhTDve255DKYJsYoa2yTWrdFex38EqgSOXvw18HHE8xvVjq0yzpNb3X7OfU1MAGcAO3ZNcTOuLdTxTV0xY1xsZUP9RrRXskfB8IkGXCROUeW6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3149E-UuSjidJ1-ZjAz9B7yl_bPrUYAZJ0SW56eH2BSUezbvKqWHwesowbpaVPferabTPsftM8NejcRyRhUAvo8C-9FHE6Fj0W5fDGy7yyiJpLYWXFOacyx-qnqmj0UNuzT-N52bUz1lAp3XhtVXPtM6C2xN4Sp2M752rihBP2dM-J0mRnMYGeGRQNXmq8-sXy4dCTTLqaFKWEG2vEWUYQR5WaRd-NWXKXNt_6mgwAGvbmtDCdaXvtFS_CF8CoIymgGwjQSZ6zz9CBRvUEkOcgmDU2TPNZf2bSaWBD9t80ENAnfyX2DZEaVnuuFlcRCdkrZwltwGIyffMSBcrRFM49kMurj5gHo1hoWBxbIZR1XV_iKvQvWfG1o4e9AXeihh1eljCK1aiTA97oPLBhRaVlcRndd2i6gqH18EbhP_pG07pBbiefd8_Q0_5UpDm_oF3e4HHlGtNX0u_JHxPunH8ZzQFl8xCibvpUrDbPdr8BJm-NIGG4Cpvf5vKwPIpG7x7xLCM3TuASh2rzfNL3VYn-NgSMUsZBWi21ogFNBtg2Bls6eKUmO6cPi6TFcXwAHKpNZ2dNBMpsGMm0g2uu2FSrqklLWG1HyQ23r41m4R4w7jlm-7mTz3qME1puMiiBPFT8sBcP1DCtqEx8Lg2BNUGRg7KgXQowrZsixEVWkCU2BJQSbNy2eXqAWmRYH63bPusebF5iu6ZLkRDt-CXoDxoTuyaCxBH_UfYg1PYWpHQ7_SyQfEA3wQDCOZ_5ZL3ikyZ7gD2JKG9jRGqzZWJcCqinJh_INf7RJqcBqDUr64OQjae4xQPNRgbkCgcZHoFBcpCbyxbbu5lOm3XSja-5dJL8xRMzlJP7ydWW2pKsRuq3ZtDYWvpbLjuvAcb9b9mzooMfp4gVYGa1QbcMHrKGjWS5YOlo_RtLy0yxiQ6VDy4JYjhTdpZ8EME0uvH3zCxEayZT4Io1HGIubA9slb7q5GxRzw-6NqKmHmCEUTSGuO81fg1iAaBLvJIuE8nPqMeXXoUqNHcIQWojITzatPtYaKig6LpGWrOMjwXPBPZ97bzowCqzSc1YYIJ5E7TwL-zEjNluYnd3I805_N6OcawnV7UcZFG9QL6aAXz362AHCzjo2JFEyiRKlqFRvyX3SaZAT8QkU9U6XjX5K02jmpEWhI-K0i-v_hjlx_Y1NGz44yL9F2LxDWFQat0RcDGkDhv4i2oyjlFDDtQGDc7hSdYcw48cVxyP4p7mYPlGjEH0T7AWVYgYBVys6OoUCsSgJoLeJrEJfmRN4cPjDUkfT5KG6zPV6pCIhAscmkrJyDlMR06C-TYK3uMRvEvgfTR8YEThp8vNinsrG-zqYkL4rPqcMpxtiWqhedkJnKMBKybVHvnQsXpFB9W8LkNCPEGHnU37BQVnuQmjhOxal8DSPjZlYrJLR8vYg4U_boItEgv9e2A2Uyxsv9reL5uPVubujA-1J0kVmhuI0IIz2p7Q9gi2CwkcBwPi6Sw1yYsdXxgdkWaJqPqwkGcadRzaMc4RuTgqp0B_JLd59ohQfqcqOVqhFC8qv7ov8lPCDLGIdTn-A/https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MK1KB/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d%3Aamzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09Y5MK1KB&pd_rd_r=06d97c52-b8e6-44af-ada7-ae5c942d5310&pd_rd_w=kDH0b&pd_rd_wg=xNYgR&pf_rd_p=3353ca56-2043-45f1-9c2e-99dccef31d9d&pf_rd_r=0Z3G5R43HTH2X7VVFFW1&qid=1738250054&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,2024-02-18 00:00:00
